Jurisdiction,HHS Region,Doses allocated week of 12/14,Second Dose Shipment (21 days later) week of 12/14,Doses allocated week of 12/21,Second Dose Shipment (21 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (21 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (21 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (21 days later) week of 01/10,"Total Pfizer Allocation ""First Dose"" Shipments","Total Allocation Pfizer ""Second Dose"" Shipments"
Yes,Region 4,"40,950","40,950","29,250","29,250","38,025","38,025","29,250","29,250","29,250","29,250","166,725","166,725"
Alaska***,Region 10,"35,100","35,100",N/A,N/A,N/A,N/A,"27,300","27,300",N/A,N/A,"62,400","62,400"
American Samoa**,Region 9,"5,850",N/A,N/A,N/A,N/A,N/A,"7,800",N/A,N/A,N/A,"13,650",0
Arizona***,Region 9,"58,500","58,500","41,925","41,925","53,625","53,625","41,925","41,925","41,925","41,925","237,900","237,900"
Yes,Region 6,"25,350","25,350","18,525","18,525","23,400","23,400","18,525","18,525","18,525","18,525","104,325","104,325"
Yes,Region 9,"327,600","327,600","233,025","233,025","297,375","297,375","232,050","232,050","233,025","233,025","1,323,075","1,323,075"
Chicago,Region 5,"23,400","23,400","16,575","16,575","21,450","21,450","16,575","16,575","16,575","16,575","94,575","94,575"
Yes,Region 8,"46,800","46,800","33,150","33,150","42,900","42,900","33,150","33,150","33,150","33,150","189,150","189,150"
Yes,Region 1,"31,200","31,200","22,425","22,425","28,275","28,275","22,425","22,425","22,425","22,425","126,750","126,750"
Yes,Region 3,"8,775","8,775","5,850","5,850","7,800","7,800","5,850","5,850","5,850","5,850","34,125","34,125"
Yes,Region 3,"6,825","6,825","4,875","4,875","5,850","5,850","4,875","4,875","4,875","4,875","27,300","27,300"
Federal Entities ****,N/A,156000,142350,"102,375","102,375","128,700","128,700","117,000","101,400","102,375","102,375","606,450","577,200"
Yes,Region 4,"179,400","179,400","127,725","127,725","162,825","162,825","126,750","126,750","127,725","127,725","724,425","724,425"
Yes,Region 4,"84,825","84,825","60,450","60,450","77,025","77,025","60,450","60,450","60,450","60,450","343,200","343,200"
Guam**,Region 9,"11,700",N/A,N/A,N/A,N/A,N/A,"7,800",N/A,N/A,N/A,"19,500",0
Yes,Region 9,"12,675","12,675","8,775","8,775","11,700","11,700","8,775","8,775","8,775","8,775","50,700","50,700"
Houston ~,Region 6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yes,Region 10,"13,650","13,650","9,750","9,750","12,675","12,675","9,750","9,750","9,750","9,750","55,575","55,575"
Yes,Region 5,"85,800","85,800","60,450","60,450","78,000","78,000","60,450","60,450","60,450","60,450","345,150","345,150"
Yes,Region 5,"55,575","55,575","39,975","39,975","50,700","50,700","39,000","39,000","39,975","39,975","225,225","225,225"
