State,W1_1,W1_2,W2_1,W2_2,W3_1,W3_2,W4_1,W4_2,W5_1,W5_2,Total_1,Total_2,Distance,Population,y_baseline
Connecticut,31200.0,31200.0,22425.0,22425.0,28275.0,28275.0,22425.0,22425.0,22425.0,22425.0,126750.0,126750.0,643.5,3579918,119825.0
Maine,12675.0,12675.0,8775.0,8775.0,10725.0,10725.0,8775.0,8775.0,8775.0,8775.0,49725.0,49725.0,829.4,1364571,45674.0
Massachusetts,59475.0,59475.0,42900.0,42900.0,54600.0,54600.0,42900.0,42900.0,42900.0,42900.0,242775.0,242775.0,724.5,6994598,234120.0
New Hampshire,12675.0,12675.0,8775.0,8775.0,10725.0,10725.0,8775.0,8775.0,8775.0,8775.0,49725.0,49725.0,713.0,1378756,46149.0
Rhode Island,9750.0,9750.0,6825.0,6825.0,8775.0,8775.0,6825.0,6825.0,6825.0,6825.0,39000.0,39000.0,726.0,1096530,36703.0
Vermont,5850.0,5850.0,4875.0,4875.0,5850.0,5850.0,3900.0,3900.0,4875.0,4875.0,25350.0,25350.0,670.5,642977,21521.0
New Jersey,76050.0,76050.0,53625.0,53625.0,68250.0,68250.0,53625.0,53625.0,53625.0,53625.0,305175.0,305175.0,601.1,9272794,310375.0
New York,169650.0,169650.0,119925.0,119925.0,154050.0,154050.0,119925.0,119925.0,119925.0,119925.0,683475.0,683475.0,580.1,20105171,672952.0
Delaware,8775.0,8775.0,5850.0,5850.0,7800.0,7800.0,5850.0,5850.0,5850.0,5850.0,34125.0,34125.0,576.6,991928,33201.0
District of Columbia,6825.0,6825.0,4875.0,4875.0,5850.0,5850.0,4875.0,4875.0,4875.0,4875.0,27300.0,27300.0,505.7,670917,22457.0
Maryland,50700.0,50700.0,36075.0,36075.0,46800.0,46800.0,36075.0,36075.0,36075.0,36075.0,205725.0,205725.0,519.3,6177935,206785.0
Pennsylvania,111150.0,111150.0,78975.0,78975.0,101400.0,101400.0,78975.0,78975.0,78975.0,78975.0,449475.0,449475.0,438.9,12996143,435001.0
Virginia,72150.0,72150.0,50700.0,50700.0,65325.0,65325.0,50700.0,50700.0,50700.0,50700.0,289575.0,289575.0,497.5,8637615,289115.0
West Virginia,16575.0,16575.0,11700.0,11700.0,14625.0,14625.0,11700.0,11700.0,11700.0,11700.0,66300.0,66300.0,371.3,1791646,59969.0
Alabama,40950.0,40950.0,29250.0,29250.0,38025.0,38025.0,29250.0,29250.0,29250.0,29250.0,166725.0,166725.0,692.9,5033094,168466.0
Florida,179400.0,179400.0,127725.0,127725.0,162825.0,162825.0,126750.0,126750.0,127725.0,127725.0,724425.0,724425.0,1036.2,21592035,722719.0
Georgia,84825.0,84825.0,60450.0,60450.0,77025.0,77025.0,60450.0,60450.0,60450.0,60450.0,343200.0,343200.0,715.5,10732888,359247.0
Kentucky,38025.0,38025.0,27300.0,27300.0,34125.0,34125.0,27300.0,27300.0,27300.0,27300.0,154050.0,154050.0,315.4,4508318,150900.0
Mississippi,25350.0,25350.0,17550.0,17550.0,22425.0,22425.0,17550.0,17550.0,17550.0,17550.0,100425.0,100425.0,717.6,2958536,99027.0
North Carolina,85800.0,85800.0,61425.0,61425.0,78000.0,78000.0,61425.0,61425.0,61425.0,61425.0,348075.0,348075.0,572.3,10449652,349766.0
South Carolina,42900.0,42900.0,30225.0,30225.0,39000.0,39000.0,30225.0,30225.0,30225.0,30225.0,172575.0,172575.0,631.6,5132249,171784.0
Tennessee,56550.0,56550.0,39975.0,39975.0,51675.0,51675.0,39975.0,39975.0,39975.0,39975.0,228150.0,228150.0,471.1,6927904,231888.0
Illinois,109200.0,109200.0,77025.0,77025.0,99450.0,99450.0,77025.0,77025.0,77025.0,77025.0,439725.0,439725.0,228.2,12799088,428406.0
Indiana,55575.0,55575.0,39975.0,39975.0,50700.0,50700.0,39000.0,39000.0,39975.0,39975.0,225225.0,225225.0,120.3,6790497,227289.0
Michigan,84825.0,84825.0,60450.0,60450.0,77025.0,77025.0,60450.0,60450.0,60450.0,60450.0,343200.0,343200.0,139.8,10072703,337149.0
Ohio,98475.0,98475.0,70200.0,70200.0,89700.0,89700.0,70200.0,70200.0,70200.0,70200.0,398775.0,398775.0,190.0,11798905,394928.0
Arkansas,25350.0,25350.0,18525.0,18525.0,23400.0,23400.0,18525.0,18525.0,18525.0,18525.0,104325.0,104325.0,594.0,3014546,100902.0
Louisiana,39000.0,39000.0,28275.0,28275.0,36075.0,36075.0,28275.0,28275.0,28275.0,28275.0,159900.0,159900.0,844.5,4652301,155720.0
Oklahoma,33150.0,33150.0,23400.0,23400.0,29250.0,29250.0,23400.0,23400.0,23400.0,23400.0,132600.0,132600.0,797.9,3965415,132729.0
Texas,224250.0,224250.0,159900.0,159900.0,203775.0,203775.0,158925.0,158925.0,159900.0,159900.0,906750.0,906750.0,1060.5,29239570,978694.0
Iowa,26325.0,26325.0,19500.0,19500.0,24375.0,24375.0,18525.0,18525.0,19500.0,19500.0,108225.0,108225.0,386.1,3191141,106812.0
Kansas,24375.0,24375.0,17550.0,17550.0,22425.0,22425.0,17550.0,17550.0,17550.0,17550.0,99450.0,99450.0,712.2,2938172,98345.0
Missouri,51675.0,51675.0,37050.0,37050.0,46800.0,46800.0,37050.0,37050.0,37050.0,37050.0,209625.0,209625.0,445.0,6154744,206009.0
Colorado,46800.0,46800.0,33150.0,33150.0,42900.0,42900.0,33150.0,33150.0,33150.0,33150.0,189150.0,189150.0,1068.6,5787129,193704.0
Montana,9750.0,9750.0,6825.0,6825.0,8775.0,8775.0,6825.0,6825.0,6825.0,6825.0,39000.0,39000.0,1253.9,1087230,36391.0
South Dakota,7800.0,7800.0,5850.0,5850.0,6825.0,6825.0,5850.0,5850.0,5850.0,5850.0,32175.0,32175.0,730.1,887948,29721.0
Wyoming,4875.0,4875.0,3900.0,3900.0,4875.0,4875.0,3900.0,3900.0,3900.0,3900.0,21450.0,21450.0,1100.6,577681,19336.0
California,327600.0,327600.0,233025.0,233025.0,297375.0,297375.0,232050.0,232050.0,233025.0,233025.0,1323075.0,1323075.0,1829.9,39521958,1322862.0
Hawaii,12675.0,12675.0,8775.0,8775.0,11700.0,11700.0,8775.0,8775.0,8775.0,8775.0,50700.0,50700.0,4299.2,1451252,48576.0
Nevada,25350.0,25350.0,17550.0,17550.0,22425.0,22425.0,17550.0,17550.0,17550.0,17550.0,100425.0,100425.0,1627.5,3116967,104330.0
Idaho,13650.0,13650.0,9750.0,9750.0,12675.0,12675.0,9750.0,9750.0,9750.0,9750.0,55575.0,55575.0,1466.3,1849415,61903.0
